TYPES OF PADDY,X,Y,PERIOD,STARTING DURATION,ENDING DURATION,AVERAGE YIELD(Kg/ha),1000 GRAIN WEIGHT(g),GRAIN TYPE,HABIT,RICE COLOR,SPECIAL FEATURES,STARTING MONTH,ENDING MONTH,DISTRICT,RAINFALL ACTUAL(in mm),RAINFALL NORMAL(in mm),TMAX (°F),TMIN (°F)
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Nagapattinam,164.8,286.1,94,84
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Tiruvarur,181.7,296.4,96,84
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Pudukottai,277.7,350.6,97,81
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Madurai,273.8,335.9,98,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Dindigul,267,295.4,97,78
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Theni,474,158.4,95,76
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Tirunelveli,81.6,166.2,95,77
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Thoothukudi,13.1,111.6,94,80
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Kanyakumari,579.8,477.4,89,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Salem,330.6,440.6,98,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Namakkal,256.7,339.3,99,80
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Dharmapuri,170.6,393.4,96,77
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Krishnagiri,222.2,399,95,77
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Coimbatore,652.3,189.8,92,75
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,May,June,Erode,282.9,229.8,86,70
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Kanchipuram,397,490.8,100,78
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Tiruvallur,9.5,67.2,99,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Tiruvannamalai,44.3,98.9,102,76
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Vellore,318.1,466.1,103,78
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Cuddalore,5.6,81.7,93,81
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Villupuram,22.5,76,97,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,June,July,Tiruchirappalli,143.2,293.9,98,81
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,June,July,Karur,164.4,213.6,96,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,June,July,Perambalur,180,290.7,98,81
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Madurai,273.8,335.9,98,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Dindigul,267,295.4,97,78
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Theni,474,158.4,95,76
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Tirunelveli,81.6,166.2,95,77
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,April,May,Thoothukudi,13.1,111.6,94,80
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Kanyakumari,579.8,477.4,89,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Salem,330.6,440.6,98,79
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Namakkal,256.7,339.3,99,80
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Dharmapuri,170.6,393.4,96,77
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Krishnagiri,222.2,399,95,77
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Coimbatore,652.3,189.8,92,75
CO 47,IR 50,CO 43,Short,110,115,5832,20.6,Medium slender,Erect,White,Resistant to Blast,May,June,Erode,282.9,229.8,86,70
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Kanchipuram,397,490.8,100,78
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Tiruvallur,9.5,67.2,99,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Tiruvannamalai,44.3,98.9,102,76
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Vellore,35.7,106.5,103,78
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Cuddalore,5.6,81.7,93,81
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Villupuram,22.5,76,97,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Tiruchirappalli,143.2,293.9,98,81
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Karur,164.4,213.6,96,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Perambalur,180,290.7,98,81
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Thanjavur,151,318,98,82
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Nagapattinam,164.8,286.1,94,84
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Tiruvarur,181.7,296.4,96,84
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,June,July,Pudukottai,277.7,350.6,97,81
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Madurai,273.8,335.9,98,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Dindigul,267,295.4,97,78
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Theni,474,158.4,95,76
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,July,August,Ramanathapuram,96.5,149.3,91,81
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,July,August,Virudhunagar,227.4,196.8,92,75
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,July,August,Sivaganga,305.7,301,94,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Tirunelveli,81.6,166.2,95,77
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,April,May,Thoothukudi,13.1,111.6,94,80
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Kanyakumari,579.8,477.4,89,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Salem,330.6,440.6,98,79
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Namakkal,256.7,339.3,99,80
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,December,January,Dharmapuri,9.2,18.2,96,77
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,December,January,Krishnagiri,14.4,10.7,95,77
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Coimbatore,652.3,189.8,92,75
ADT 36,Triveni,IR 20,Short,105,110,4000,20.6,Medium,Erect,White,Resistant to Blast and Brown Plant Hopper,May,June,Erode,282.9,229.8,86,70
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,April,May,Kanchipuram,8.4,66,100,78
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,April,May,Tiruvallur,9.5,67.2,99,79
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,April,May,Tiruvannamalai,44.3,98.9,102,76
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,April,May,Vellore,318.1,466.1,103,78
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Tiruchirappalli,143.2,293.9,98,81
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Karur,164.4,213.6,96,79
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Perambalur,180,290.7,98,81
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Thanjavur,151,318,98,82
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Nagapattinam,164.8,286.1,94,84
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,June,July,Tiruvarur,181.7,296.4,96,84
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,May,June,Madurai,273.8,335.9,98,79
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,May,June,Dindigul,267,295.4,97,78
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,May,June,Theni,474,158.4,95,76
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,May,June,Salem,330.6,440.6,98,79
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,May,June,Namakkal,256.7,339.3,99,80
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,December,January,Dharmapuri,9.2,18.2,96,77
ADT 37,BG 280-12,PTB 33,Short,100,105,6200,23.4,Short bold,"Semi dwarf, Semi erect",White,Resistant to many pest and diseases,December,January,Krishnagiri,14.4,10.7,83,66
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",December,January,Kanchipuram,417.1,641.8,84,75
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",December,January,Tiruvallur,0.5,31.5,84,69
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Tiruvannamalai,44.3,98.9,102,76
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Vellore,318.1,466.1,103,78
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Cuddalore,5.6,81.7,93,81
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Villupuram,22.5,76,97,79
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Tiruchirappalli,143.2,293.9,98,81
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Karur,164.4,213.6,96,79
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Perambalur,180,290.7,98,81
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Thanjavur,151,318,98,82
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Nagapattinam,164.8,286.1,94,84
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Tiruvarur,181.7,296.4,96,84
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",June,July,Pudukottai,277.7,350.6,97,81
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Madurai,273.8,335.9,98,79
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Dindigul,267,295.4,97,78
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Theni,474,158.4,95,76
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Tirunelveli,81.6,166.2,95,77
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",April,May,Thoothukudi,13.1,111.6,94,80
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Kanyakumari,579.8,477.4,89,79
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Salem,330.6,440.6,98,79
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Namakkal,256.7,339.3,99,80
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Dharmapuri,170.6,393.4,96,77
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Krishnagiri,222.2,399,95,77
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Coimbatore,652.3,189.8,92,75
ADT 43,IR 50,White ponni,Short,105,110,5900,15.5,Medium slender,Semi dwarf,White,"Resistant to Green Leaf Hopper, high tillering and fine rice",May,June,Erode,282.9,229.8,86,70
ADT 45,IR 50,ADT 37,Short,105,110,6100,17.5,Medium slender,"Semi dwarf, Erect",White,Resistant to Gall midge and moderately resistant to Brown Plant Hopper,April,May,Tirunelveli,81.6,166.2,95,77
ADT 45,IR 50,ADT 37,Short,105,110,6100,17.5,Medium slender,"Semi dwarf, Erect",White,Resistant to Gall midge and moderately resistant to Brown Plant Hopper,April,May,Thoothukudi,13.1,111.6,94,80
ADT 45,IR 50,ADT 37,Short,105,110,6100,17.5,Medium slender,"Semi dwarf, Erect",White,Resistant to Gall midge and moderately resistant to Brown Plant Hopper,May,June,Kanyakumari,579.8,477.4,89,80
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Kanchipuram,397,490.8,100,78
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Thiruvallur,9.5,67.2,99,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Vellore,318.1,466.1,103,78
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Cuddalore,5.6,81.7,93,81
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",April,May,Villupuram,22.5,76,97,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Tiruchirappali,143.2,293.9,98,81
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Karur,164.4,213.6,96,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Perambalur,180,290.7,98,81
ASD 16,ADT 41,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Thanjavur,151,318,98,82
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Nagapattinam,164.8,286.1,94,84
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Tiruvarur,181.7,296.4,96,84
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Pudukottai,277.7,350.6,97,81
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Madurai,273.8,335.9,98,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Dindigal,267,295.4,97,78
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Theni,474,158.4,95,76
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",September,October,Tirunelveli,344.5,142.4,89,75
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",September,October,Thoothukudi,348.8,427,89,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Kanyakumari,579.8,477.4,89,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Salem,330.6,440.6,98,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Namakkal,256.7,339.3,99,80
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Dharmapuri,170.6,393.4,96,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Krishnagiri,222.2,399,95,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Erode,282.9,229.8,86,70
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Coimbatore,652.3,189.8,92,75
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Kanchipuram,397,490.8,100,78
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Thiruvallur,9.5,67.2,99,79
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Vellore,318.1,466.1,103,78
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Kanchipuram,8.4,66,100,78
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Thiruvallur,9.5,67.2,99,79
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Vellore,318.1,466.1,103,78
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Kanchipuram,397,490.8,100,78
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Thiruvallur,9.5,67.2,99,79
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Vellore,35.7,106.5,103,78
